,Name,Position,Appearances,Clean sheets,Goals Conceded,Tackles,Tackle success %,Last man tackles,Blocked shots,Interceptions,Clearances,Headed Clearance,Clearances off line,Recoveries,Duels won,Duels lost,Successful 50/50s,Aerial battles won,Aerial battles lost,Own goals,Errors leading to goal,Assists,Passes,Passes per match,Big Chances Created,Crosses,Cross accuracy %,Through balls,Accurate long balls,Yellow cards,Red cards,Fouls,Offsides,Goals,Headed goals,Goals with right foot,Goals with left foot,Hit woodwork,Goals per match,Penalties scored,Freekicks scored,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Penalties Saved,Punches,High Claims,Catches,Sweeper clearances,Throw outs,Goal Kicks
124,Zak Brunt ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
125,Joe Bryan ,Defender,16,0,17,15,53%,0,3,14,11,5,0,38,42,21,14,6,3,0,0,0,314,19.63,0,48,15%,1,12,2,0,10,0,1,1,0,0,1,,,,,,,,,,,,,,,
126,Hugo Bueno ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
127,Oliver Burke ,Midfielder,25,,,16,50%,,9,2,4,2,,29,68,129,16,30,48,,0,1,252,10.08,4,10,10%,1,3,2,0,23,3,1,0,1,0,0,0.04,0,0,25,6,24%,3,,,,,,,,
128,Dan Burn ,Defender,27,6,28,50,52%,0,3,31,71,51,1,109,163,117,12,96,43,1,0,0,"1,100",40.74,1,37,19%,0,31,5,0,35,4,1,0,1,0,0,,,,,,,,,,,,,,,
129,Robbie Burton ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
130,Jack Butland ,Goalkeeper,1,0,2,,,,,,,,,,,,,,,0,0,0,19,19.00,,,,,3,0,0,0,,0,,,,,,,,,,,,3,0,0,1,0,0,2,8
131,David Button ,Goalkeeper,1,0,2,,,,,,,,,,,,,,,0,0,0,36,36.00,,,,,9,0,0,0,,0,,,,,,,,,,,,4,0,2,0,0,0,1,12
132,Oskar Buur ,Defender,1,0,0,0,0%,0,0,0,0,0,0,0,1,3,0,1,0,0,0,0,14,14.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
133,Willy Caballero ,Goalkeeper,1,0,3,,,,,,,,,,,,,,,0,0,0,24,24.00,,,,,2,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,2,6
134,Gary Cahill ,Defender,20,4,39,13,69%,0,3,13,86,48,0,64,86,53,1,69,38,0,0,1,746,37.30,0,0,0%,0,48,3,0,12,3,1,1,0,0,0,,,,,,,,,,,,,,,
135,Jake Cain ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
136,Tom Cairney ,Midfielder,10,,,9,33%,,3,0,1,0,,39,47,23,16,4,5,,0,1,594,59.40,1,37,32%,1,40,2,0,4,1,1,0,0,1,0,0.10,0,0,12,5,42%,0,,,,,,,,
137,Callum Rowe ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
138,Dominic Calvert-Lewin ,Forward,33,,,17,,,11,6,33,31,,,,,,,,,,0,675,20.45,1,9,,,,3,0,37,18,16,7,8,1,1,0.48,0,0,83,46,55%,17,,,,,,,,
139,Leonardo Campana ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
140,Chem Campbell ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
141,Elia Caprile ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
142,Carlos Vinícius ,Forward,9,,,3,,,1,2,5,4,,,,,,,,,,0,46,5.11,0,2,,,,2,0,11,2,1,0,1,0,0,0.11,0,0,7,4,57%,1,,,,,,,,
143,Guido Carrillo ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
144,Andy Carroll ,Forward,18,,,3,,,6,0,14,13,,,,,,,,,,0,136,7.56,0,0,,,,1,0,12,4,1,0,0,1,0,0.06,0,0,14,2,14%,0,,,,,,,,
145,Scott Carson ,Goalkeeper,1,0,3,,,,,,,,,,,,,,,0,0,0,10,10.00,,,,,0,0,0,0,,0,,,,,,,,,,,,2,1,0,0,0,0,6,2
146,Cameron Carter-Vickers ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
147,Fabio Carvalho ,Midfielder,4,,,9,67%,,3,1,0,0,,12,20,23,8,1,4,,0,0,85,21.25,1,4,0%,0,0,0,0,4,0,1,0,1,0,0,0.25,0,0,9,5,56%,1,,,,,,,,
148,Oliver Casey ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
149,Matthew Cash ,Defender,28,10,35,71,56%,0,4,60,82,45,2,134,139,124,12,35,39,0,0,2,"1,008",36.00,2,81,27%,0,57,6,1,35,2,0,0,0,0,0,,,,,,,,,,,,,,,
150,Lewis Cass ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
151,Timothy Castagne ,Defender,27,6,37,52,62%,0,2,29,50,26,0,129,117,107,11,41,43,0,1,3,"1,325",49.07,4,46,20%,0,25,1,0,20,1,2,1,0,1,1,,,,,,,,,,,,,,,
152,Edinson Cavani ,Forward,26,,,12,,,7,6,11,8,,,,,,,,,,3,336,12.92,5,4,,,,4,0,21,6,10,6,3,1,0,0.38,0,0,34,15,44%,7,,,,,,,,
153,Dani Ceballos ,Midfielder,25,,,37,59%,,4,35,14,10,,136,95,93,26,8,13,,0,3,"1,272",50.88,4,29,31%,7,70,4,0,23,0,0,0,0,0,1,0.00,0,0,13,2,15%,0,,,,,,,,
154,Cédric Soares ,Defender,10,2,11,12,67%,0,2,8,14,5,0,40,29,48,5,7,12,0,1,1,365,36.50,1,34,24%,0,9,1,0,6,0,0,0,0,0,1,,,,,,,,,,,,,,,
155,Calum Chambers ,Defender,10,2,10,7,43%,0,2,10,36,18,0,42,33,40,4,20,18,0,0,2,479,47.90,1,33,18%,2,13,0,0,7,0,0,0,0,0,0,,,,,,,,,,,,,,,
156,Kgaogelo Chauke ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
157,Ben Chilwell ,Defender,27,9,23,42,52%,0,7,24,47,26,0,122,137,103,16,38,34,0,0,5,"1,469",54.41,2,136,20%,0,51,3,0,23,8,3,0,1,2,0,,,,,,,,,,,,,,,
158,Tahith Chong ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
159,Hamza Choudhury ,Midfielder,10,,,8,88%,,1,4,7,3,,24,16,13,0,6,1,,1,0,235,23.50,0,1,0%,0,6,1,0,6,0,0,0,0,0,0,0.00,0,0,4,1,25%,1,,,,,,,,
160,Benjamin Chrisene ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
161,Andreas Christensen ,Defender,17,8,15,11,55%,1,1,20,49,25,1,85,63,36,7,38,18,0,1,0,"1,141",67.12,0,0,0%,1,52,2,1,9,0,0,0,0,0,0,,,,,,,,,,,,,,,
162,Cyrus Christie ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
163,Carney Chukwuemeka ,Midfielder,2,,,2,100%,,0,0,0,0,,1,3,8,0,1,4,,0,0,9,4.50,0,0,0%,0,1,0,0,2,0,0,0,0,0,1,0.00,0,0,1,0,0%,0,,,,,,,,
164,Dennis Cirkin ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
165,Ciaran Clark ,Defender,22,3,35,24,58%,0,2,29,99,51,0,105,108,66,4,69,41,1,0,0,790,35.91,0,0,0%,0,39,3,0,16,1,1,1,0,0,0,,,,,,,,,,,,,,,
166,Leon Clarke ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
167,Leighton Clarkson ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
168,Thomas Clayton ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
169,Nathaniel Clyne ,Defender,13,0,22,17,59%,0,1,18,21,6,0,56,27,24,4,4,10,0,0,1,443,34.08,0,23,22%,0,15,2,0,4,0,0,0,0,0,0,,,,,,,,,,,,,,,
170,Conor Coady ,Defender,37,10,51,35,66%,2,0,27,130,83,2,155,91,69,6,41,29,0,1,0,"1,857",50.19,0,0,0%,0,248,5,0,22,0,1,1,0,0,1,,,,,,,,,,,,,,,
171,Alex Cochrane ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
172,Séamus Coleman ,Defender,25,5,19,39,67%,0,5,13,32,17,0,124,85,68,20,9,11,0,0,3,645,25.80,2,35,29%,0,33,0,0,12,0,0,0,0,0,1,,,,,,,,,,,,,,,
173,Aaron Connolly ,Forward,17,,,6,,,4,0,1,1,,,,,,,,,,1,92,5.41,0,2,,,,0,0,6,8,2,0,2,0,0,0.12,0,0,23,9,39%,5,,,,,,,,
174,Liam Cooper ,Defender,25,6,40,68,66%,0,0,61,67,33,0,156,192,108,3,96,61,0,0,0,"1,650",66.00,0,0,0%,0,95,4,1,23,1,1,1,0,0,0,,,,,,,,,,,,,,,
175,Theo Corbeanu ,Forward,1,,,2,,,0,1,0,0,,,,,,,,,,0,2,2.00,0,1,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
176,Jack Cork ,Midfielder,16,,,26,38%,,4,16,19,8,,89,75,83,5,33,29,,0,0,500,31.25,0,5,20%,0,17,2,0,21,0,0,0,0,0,0,0.00,0,0,5,0,0%,0,,,,,,,,
177,Ben Cottrell ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
178,Vladimir Coufal ,Defender,34,9,43,73,49%,0,3,41,90,54,0,169,172,131,15,53,42,0,0,7,"1,279",37.62,9,132,26%,0,35,3,0,29,0,0,0,0,0,2,,,,,,,,,,,,,,,
179,Ismaila Coulibaly ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
180,Conor Coventry ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
181,Charlie Cresswell ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
182,Josh Cullen ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
183,Jamie Cumming ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
184,Luke Cundle ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
185,Patrick Cutrone ,Forward,2,,,0,,,0,0,0,0,,,,,,,,,,0,2,1.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
186,Vontae Daley-Campbell ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
187,Stuart Dallas ,Midfielder,38,,,74,61%,,13,44,46,20,,256,179,180,22,33,40,,0,2,"1,961",51.61,3,82,15%,3,75,7,0,40,0,8,1,6,1,1,0.21,0,0,48,19,40%,2,,,,,,,,
188,Daniel Podence ,Midfielder,24,,,12,50%,,10,13,2,1,,81,84,95,38,7,15,,0,2,601,25.04,3,32,22%,4,42,3,0,14,4,3,0,2,1,1,0.13,0,0,32,14,44%,0,,,,,,,,
189,Scott Dann ,Defender,15,2,24,6,67%,0,2,18,57,26,0,73,66,42,4,51,29,0,1,0,640,42.67,0,0,0%,0,36,1,0,6,0,1,1,0,0,0,,,,,,,,,,,,,,,
190,Kevin Danso ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
191,Karl Darlow ,Goalkeeper,25,4,43,,,,,,,,,,,,,,,0,0,0,628,25.12,,,,,186,3,0,0,,0,,,,,,,,,,,,88,1,25,13,5,2,92,216
192,David Luiz ,Defender,20,3,18,12,75%,1,5,16,49,29,0,64,55,31,3,35,14,0,0,0,998,49.90,1,9,0%,3,71,1,1,15,1,1,1,0,0,1,,,,,,,,,,,,,,,
193,Tom Davies ,Midfielder,25,,,31,58%,,2,34,20,12,,102,85,79,18,11,15,,1,1,697,27.88,2,5,60%,1,34,3,0,26,0,0,0,0,0,0,0.00,0,0,7,0,0%,0,,,,,,,,
194,Keinan Davis ,Forward,15,,,2,,,3,0,2,2,,,,,,,,,,1,73,4.87,1,4,,,,0,0,4,0,1,0,0,1,1,0.07,0,0,9,2,22%,0,,,,,,,,
195,Craig Dawson ,Defender,22,7,23,11,73%,0,1,32,87,53,1,92,79,46,0,57,26,2,1,0,764,34.73,0,0,0%,0,59,3,1,14,2,3,2,1,0,1,,,,,,,,,,,,,,,
196,Laurens De Bock ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
197,Kevin De Bruyne ,Midfielder,25,,,34,62%,,28,9,8,6,,116,117,122,48,4,10,,0,12,"1,265",50.60,19,146,27%,13,64,1,0,27,1,6,0,5,1,4,0.24,2,0,80,26,33%,8,,,,,,,,
198,Bobby De Cordova-Reid ,Forward,33,,,31,,,12,21,34,17,,,,,,,,,,2,760,23.03,2,41,,,,7,0,38,3,5,1,4,0,2,0.15,0,0,34,9,26%,3,,,,,,,,
199,David de Gea ,Goalkeeper,26,9,32,,,,,,,,,,,,,,,0,1,0,501,19.27,,,,,82,0,0,0,,0,,,,,,,,,,,,60,0,6,2,2,10,88,172
200,Luca de la Torre ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
201,Liam Delap ,Forward,1,,,0,,,0,0,0,0,,,,,,,,,,0,6,6.00,0,0,,,,0,0,1,0,0,0,0,0,1,0.00,0,0,1,0,0%,0,,,,,,,,
202,Fabian Delph ,Midfielder,8,,,5,40%,,0,4,7,0,,22,19,8,7,0,0,,0,0,217,27.13,0,7,0%,0,8,1,0,3,0,0,0,0,0,0,0.00,0,0,1,0,0%,0,,,,,,,,
203,Lars Dendoncker ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
204,Alfie Devine ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
205,Kiernan Dewsbury-Hall ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
206,Fousseni Diabaté ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
207,Cheikh Diaby ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
208,Mbaye Diagne ,Forward,16,,,4,,,1,1,16,10,,,,,,,,,,2,235,14.69,2,4,,,,2,0,17,17,3,2,1,0,1,0.19,0,0,25,10,40%,11,,,,,,,,
209,Mamadou Dialla Sylla ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
210,Ibrahima Diallo ,Midfielder,22,,,29,55%,,3,10,12,5,,71,60,68,10,10,17,,0,0,588,26.73,1,7,14%,0,15,3,0,22,0,0,0,0,0,0,0.00,0,0,7,1,14%,1,,,,,,,,
211,Grady Diangana ,Midfielder,20,,,35,54%,,3,16,7,3,,69,117,129,25,23,33,,0,0,336,16.80,0,20,10%,1,5,0,0,11,4,1,0,0,1,0,0.05,0,0,14,4,29%,1,,,,,,,,
212,Eric Dier ,Midfielder,28,,,23,61%,,4,23,122,68,,139,123,82,3,86,59,,0,0,"1,789",63.89,0,5,20%,1,111,3,0,16,0,0,0,0,0,1,0.00,0,0,14,2,14%,2,,,,,,,,
213,Lucas Digne ,Defender,30,9,42,63,60%,0,6,31,72,28,0,141,195,128,18,92,42,0,0,7,"1,266",42.20,11,215,21%,0,40,2,1,33,4,0,0,0,0,4,,,,,,,,,,,,,,,
214,Diogo Dalot ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
215,Diogo Jota ,Forward,19,,,12,,,5,5,3,2,,,,,,,,,,0,426,22.42,2,18,,,,2,0,25,1,9,3,5,1,1,0.47,0,0,46,26,57%,7,,,,,,,,
216,Alpha Richard Dionkou ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
217,Issa Diop ,Defender,18,2,22,20,70%,0,0,22,58,35,2,58,55,41,3,24,18,1,0,0,583,32.39,0,0,0%,0,18,3,0,8,1,2,2,0,0,0,,,,,,,,,,,,,,,
218,Elijah Dixon-Bonner ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
219,Moussa Djenepo ,Midfielder,27,,,52,52%,,4,10,12,7,,68,129,135,27,12,31,,0,0,382,14.15,0,9,11%,0,7,5,0,29,3,1,0,0,1,1,0.04,0,0,14,2,14%,1,,,,,,,,
220,Matt Doherty ,Defender,17,3,15,29,52%,0,2,23,36,26,0,57,95,84,5,49,25,0,0,2,676,39.76,1,31,26%,0,21,2,1,20,0,0,0,0,0,0,,,,,,,,,,,,,,,
221,Abdoulaye Doucouré ,Midfielder,29,,,52,62%,,6,39,25,10,,186,123,108,21,38,20,,0,3,"1,341",46.24,2,9,11%,3,38,6,0,23,0,2,1,0,1,0,0.07,0,0,18,5,28%,1,,,,,,,,
222,Barry Douglas ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
223,Douglas Luiz ,Midfielder,33,,,49,37%,,6,43,41,22,,208,162,164,23,43,42,,0,2,"1,415",42.88,4,23,17%,0,108,8,1,59,0,0,0,0,0,0,0.00,0,0,26,8,31%,1,,,,,,,,
224,Tommy Doyle ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
225,Cody Drameh ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
226,Danny Drinkwater ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
227,Anthony Driscoll-Glennon ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
228,Martin Dúbravka ,Goalkeeper,13,3,19,,,,,,,,,,,,,,,0,0,0,371,28.54,,,,,73,0,0,0,,0,,,,,,,,,,,,45,0,9,9,1,4,67,122
229,Shane Duffy ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
230,Paul Dummett ,Defender,15,3,20,16,44%,0,0,16,71,38,0,44,62,49,3,39,31,0,0,0,518,34.53,0,10,40%,0,32,2,0,9,0,1,1,0,0,0,,,,,,,,,,,,,,,
231,Lewis Dunk ,Defender,33,11,38,30,50%,0,5,32,104,65,1,223,134,67,6,78,39,1,0,0,"2,223",67.36,1,1,0%,0,180,5,2,22,2,5,4,1,0,1,,,,,,,,,,,,,,,
232,Jimmy Dunne ,Defender,3,0,6,3,100%,0,2,6,16,6,0,23,30,11,1,23,6,0,0,0,153,51.00,0,0,0%,0,10,1,0,2,0,1,1,0,0,0,,,,,,,,,,,,,,,
233,Frankie Ealing ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
234,Jake Eastwood ,Goalkeeper,0,0,0,,,,,,,,,,,,,,,0,0,0,0,0.00,,,,,0,0,0,0,,0,,,,,,,,,,,,0,0,0,0,0,0,0,0
235,Ederson ,Goalkeeper,36,19,28,,,,,,,,,,,,,,,0,1,1,959,26.64,,,,,158,3,0,1,,0,,,,,,,,,,,,66,1,6,19,4,16,161,153
236,Ryan Edmondson ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
237,Edward Rowe ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
238,Kyle Edwards ,Midfielder,5,,,3,67%,,1,1,0,0,,7,5,5,1,0,0,,0,0,34,6.80,0,1,0%,0,0,0,0,1,0,0,0,0,0,0,0.00,0,0,2,1,50%,0,,,,,,,,
239,John Egan ,Defender,31,4,47,41,51%,1,2,41,130,62,1,129,131,102,0,80,58,0,0,1,"1,123",36.23,1,4,25%,0,92,7,1,29,0,0,0,0,0,0,,,,,,,,,,,,,,,
240,Anwar El Ghazi ,Midfielder,28,,,16,81%,,15,6,10,5,,67,98,141,26,28,50,,0,0,523,18.68,1,87,26%,0,12,2,0,18,5,10,0,9,1,3,0.36,4,0,64,30,47%,4,,,,,,,,
241,Anthony Elanga ,Forward,2,,,4,,,0,1,1,0,,,,,,,,,,0,53,26.50,0,2,,,,0,0,2,1,1,1,0,0,0,0.50,0,0,2,1,50%,0,,,,,,,,
242,Harvey Elliott ,Midfielder,0,,,0,0%,,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
243,Emerson ,Defender,2,0,0,3,100%,0,0,1,6,3,0,7,6,7,0,3,0,0,0,0,56,28.00,0,2,50%,0,3,0,0,3,0,0,0,0,0,0,,,,,,,,,,,,,,,
244,Emiliano Martínez ,Goalkeeper,38,15,46,,,,,,,,,,,,,,,0,1,0,"1,134",29.84,,,,,265,1,0,1,,0,,,,,,,,,,,,142,1,4,39,17,12,177,253
245,Ulrick Eneme Ella ,Forward,0,,,0,,,0,0,0,0,,,,,,,,,,0,0,0.00,0,0,,,,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0%,0,,,,,,,,
246,Björn Engels ,Defender,0,0,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0%,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
247,Jonny Evans ,Defender,28,10,31,25,48%,0,0,46,96,57,0,190,137,64,8,93,37,1,0,2,"1,850",66.07,1,0,0%,1,109,7,0,18,1,2,2,0,0,0,,,,,,,,,,,,,,,
248,Eberechi Eze ,Midfielder,34,,,27,52%,,11,24,7,2,,178,175,153,64,12,29,,1,6,"1,088",32.00,5,86,27%,1,25,3,0,18,1,4,0,3,1,2,0.12,0,1,37,13,35%,1,,,,,,,,
249,Lukasz Fabianski ,Goalkeeper,35,10,44,,,,,,,,,,,,,,,0,1,0,856,24.46,,,,,263,2,0,1,,0,,,,,,,,,,,,103,1,9,20,11,4,154,272
250,Fabinho ,Midfielder,30,,,58,53%,,2,44,65,33,,208,146,119,7,54,52,,0,0,"2,108",70.27,0,1,0%,0,98,6,0,29,0,0,0,0,0,0,0.00,0,0,10,1,10%,0,,,,,,,,
